page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  13    84 image     153   145  icc     3   8  jpeg   no      2015  0    78    78 4974B 7.5%
  14    85 image    1037  1383  icc     3   8  image  no      1067  0   394   393 1502K  36%
  14    86 smask    1037  1383  gray    1   8  image  no      1067  0   394   393 14.9K 1.1%
  14    87 image    1037  1383  icc     3   8  image  no      1068  0   400   401  643K  15%
  14    88 smask    1037  1383  gray    1   8  image  no      1068  0   400   401 11.6K 0.8%
  14    89 image     666   999  icc     3   8  image  no      2056  0   484   487  549K  28%
  14    90 smask     666   999  gray    1   8  image  no      2056  0   484   487 8803B 1.3%
  14    91 image     675  3045  icc     3   8  image  no      1078  0   410   410 2121K  35%
  15    92 image    1210  1613  icc     3   8  image  no      1086  0   415   415 1424K  25%
  15    93 smask    1210  1613  gray    1   8  image  no      1086  0   415   415 19.4K 1.0%
  15    94 image     615   615  icc     3   8  image  no      1094  0   663   663  516K  47%
  15    95 smask     615   615  gray    1   8  image  no      1094  0   663   663 18.4K 5.0%
  15    96 image     615   615  icc     3   8  image  no      1113  0   579   579  516K  47%
  15    97 smask     615   615  gray    1   8  image  no      1113  0   579   579 6797B 1.8%
  15    98 image    1440  1920  icc     3   8  image  no      1114  0   398   399  311K 3.8%
  15    99 smask    1440  1920  gray    1   8  image  no      1114  0   398   399 18.3K 0.7%
  16   100 image     771   450  icc     3   8  image  no      1204  0   231   231  659K  65%
  16   101 image     512   384  icc     3   8  jpeg   no      1205  0   145   145 76.1K  13%
  16   102 image    1600   745  icc     3   8  image  no      1206  0   373   373 1326K  38%
  16   103 image     660   377  icc     3   8  image  no      1207  0   375   373  664K  91%
  16   104 image     519   375  icc     3   8  jpeg   no      1208  0   364   364 92.5K  16%
  17   105 image     525   379  icc     3   8  jpeg   no      1215  0   454   455 49.9K 8.6%
  17   106 image     215   215  icc     3   8  jpeg   no      1216  0   356   356 17.6K  13%
  17   107 image     296   260  icc     3   8  image  no      1217  0   444   446  121K  54%
  17   108 image     256   239  icc     3   8  image  no      1218  0   431   433 71.8K  40%
  17   109 smask     256   239  gray    1   8  image  no      1218  0   431   433 25.0K  42%
  17   110 image     750   228  icc     3   8  image  no      1219  0   358   359 49.2K 9.8%
  17   111 image     750   228  icc     3   8  image  no      1219  0   358   359 49.2K 9.8%
  17   112 image     512   384  icc     3   8  jpeg   no      2441  0   195   195 25.8K 4.5%
  17   113 image     512   384  icc     3   8  jpeg   no      2441  0   244   243 25.8K 4.5%
  17   114 image     252   310  icc     3   8  image  no      1221  0   550   551 78.7K  34%
  17   115 smask     252   310  gray    1   8  image  no      1221  0   550   551 2499B 3.2%
  17   116 image     324   380  icc     3   8  jpeg   no      1222  0   648   652 86.3K  24%
  17   117 image     288   343  icc     3   8  image  no      1223  0   601   599  147K  51%
  17   118 smask     288   343  gray    1   8  image  no      1223  0   601   599 11.3K  12%
  17   119 image    1024   576  icc     3   8  jpeg   no      1224  0   453   453  140K 8.1%
  17   120 image     166   232  icc     3   8  jpeg   no      1225  0   371   371 24.1K  21%
  17   121 image     359   269  icc     3   8  jpeg   no      1226  0   396   397 36.4K  13%
  17   122 image     200   200  icc     3   8  image  no      1227  0   282   282 25.0K  21%
  17   123 smask     200   200  gray    1   8  image  no      1227  0   282   282 12.2K  31%
  17   124 image     512   384  icc     3   8  jpeg   no      1228  0   136   136 62.2K  11%
  17   125 image     224   278  icc     3   8  jpeg   no      1229  0   500   494 55.6K  30%
  17   126 image     512   384  icc     3   8  image  no      1230  0   276   277 46.5K 8.1%
  17   127 smask     512   384  gray    1   8  image  no      1230  0   276   277 16.3K 8.5%
  17   128 image     240   224  icc     3   8  image  no      1231  0   366   365 32.0K  20%
  17   129 smask     240   224  gray    1   8  image  no      1231  0   366   365 10.3K  20%
  17   130 image     256   192  icc     3   8  jpeg   no      1232  0   424   429 9.97K 6.9%
  18   131 image     237   239  icc     3   8  image  no      1238  0   429   433 97.3K  59%
  18   132 image     233   233  icc     3   8  image  no      1239  0   414   414 76.8K  48%
  18   133 smask     233   233  gray    1   8  image  no      1239  0   414   414 18.7K  35%
  18   134 image     938   182  icc     3   8  image  no      1240  0   341   343  124K  25%
  18   135 image     710   240  icc     3   8  image  no      1241  0   363   360 57.6K  12%
  18   136 smask     710   240  gray    1   8  image  no      1241  0   363   360 32.2K  19%
  18   137 image     691   196  icc     3   8  image  no      1242  0   347   348  119K  30%
  18   138 image     478   173  icc     3   8  image  no      1243  0   262   264 61.9K  26%
  18   139 smask     478   173  gray    1   8  image  no      1243  0   262   264 19.0K  24%
  18   140 image     756   225  icc     3   8  image  no      1244  0   372   372 79.4K  16%
  18   141 image     353   108  icc     3   8  image  no      1245  0   191   192 32.5K  29%
  18   142 smask     353   108  gray    1   8  image  no      1245  0   191   192 2047B 5.4%
  18   143 image     604   181  icc     3   8  image  no      1246  0   270   272  129K  40%
  18   144 image     521   203  icc     3   8  image  no      1247  0   327   325 66.1K  21%
  18   145 smask     521   203  gray    1   8  image  no      1247  0   327   325 20.9K  20%
  18   146 image     769   228  icc     3   8  image  no      1248  0   375   371 39.3K 7.7%
  18   147 smask     769   228  gray    1   8  image  no      1248  0   375   371 27.2K  16%
  18   148 image     560   383  icc     3   8  image  no      2462  0   410   410 91.1K  14%
  18   149 image     560   383  icc     3   8  image  no      2462  0   410   410 91.1K  14%
  18   150 image     413   126  icc     3   8  image  no      1250  0   164   163 39.0K  26%
  18   151 image     720   188  icc     3   8  image  no      1251  0   341   341  120K  30%
  18   152 image     587   135  icc     3   8  image  no      1252  0   223   223  107K  46%
  18   153 image     439   135  icc     3   8  image  no      1253  0   241   240 47.9K  28%
  18   154 smask     439   135  gray    1   8  image  no      1253  0   241   240 12.2K  21%
  18   155 image     607   346  icc     3   8  image  no      2466  0   382   380  103K  17%
  18   156 image     607   346  icc     3   8  image  no      2466  0   382   380  103K  17%
  18   157 image     418   103  icc     3   8  image  no      1255  0   149   148 38.0K  30%
  18   158 image     873   184  icc     3   8  image  no      1256  0   281   280 99.4K  21%
  18   159 image     478   342  icc     3   8  image  no      2469  0   411   411 82.4K  17%
  18   160 image     478   342  icc     3   8  image  no      2469  0   411   411 82.4K  17%
  18   161 image     606   152  icc     3   8  image  no      1258  0   199   197 38.4K  14%
  18   162 image     701   195  icc     3   8  image  no      1259  0   316   317 57.6K  14%
  18   163 image     522    94  icc     3   8  image  no      1260  0   162   161 48.8K  34%
  18   164 smask     522    94  gray    1   8  image  no      1260  0   162   161 7298B  15%
  18   165 image     791   189  icc     3   8  image  no      1261  0   310   313  148K  34%
