file,page,num,type,width,height,color,comp,bpc,enc,interp,object_id,object_gen,x_ppi,y_ppi,encoded_size,ratio,file_size_bytes
docs/source-material/pdf-extract/embedded-images/image-134.png,18,134,image,938,182,icc,3,8,image,no,1240,0,341,343,124K,25%,100850
docs/source-material/pdf-extract/embedded-images/image-135.png,18,135,image,710,240,icc,3,8,image,no,1241,0,363,360,57.6K,12%,71837
docs/source-material/pdf-extract/embedded-images/image-136.png,18,136,smask,710,240,gray,1,8,image,no,1241,0,363,360,32.2K,19%,33377
docs/source-material/pdf-extract/embedded-images/image-137.png,18,137,image,691,196,icc,3,8,image,no,1242,0,347,348,119K,30%,126427
docs/source-material/pdf-extract/embedded-images/image-138.png,18,138,image,478,173,icc,3,8,image,no,1243,0,262,264,61.9K,26%,59530
docs/source-material/pdf-extract/embedded-images/image-139.png,18,139,smask,478,173,gray,1,8,image,no,1243,0,262,264,19.0K,24%,20312
docs/source-material/pdf-extract/embedded-images/image-140.png,18,140,image,756,225,icc,3,8,image,no,1244,0,372,372,79.4K,16%,90571
docs/source-material/pdf-extract/embedded-images/image-141.png,18,141,image,353,108,icc,3,8,image,no,1245,0,191,192,32.5K,29%,39269
docs/source-material/pdf-extract/embedded-images/image-142.png,18,142,smask,353,108,gray,1,8,image,no,1245,0,191,192,2047B,5.4%,2178
docs/source-material/pdf-extract/embedded-images/image-143.png,18,143,image,604,181,icc,3,8,image,no,1246,0,270,272,129K,40%,115728
docs/source-material/pdf-extract/embedded-images/image-144.png,18,144,image,521,203,icc,3,8,image,no,1247,0,327,325,66.1K,21%,63835
docs/source-material/pdf-extract/embedded-images/image-145.png,18,145,smask,521,203,gray,1,8,image,no,1247,0,327,325,20.9K,20%,22013
docs/source-material/pdf-extract/embedded-images/image-146.png,18,146,image,769,228,icc,3,8,image,no,1248,0,375,371,39.3K,7.7%,53840
docs/source-material/pdf-extract/embedded-images/image-147.png,18,147,smask,769,228,gray,1,8,image,no,1248,0,375,371,27.2K,16%,28445
docs/source-material/pdf-extract/embedded-images/image-148.png,18,148,image,560,383,icc,3,8,image,no,2462,0,410,410,91.1K,14%,104808
docs/source-material/pdf-extract/embedded-images/image-149.png,18,149,image,560,383,icc,3,8,image,no,2462,0,410,410,91.1K,14%,104808
docs/source-material/pdf-extract/embedded-images/image-150.png,18,150,image,413,126,icc,3,8,image,no,1250,0,164,163,39.0K,26%,44310
docs/source-material/pdf-extract/embedded-images/image-151.png,18,151,image,720,188,icc,3,8,image,no,1251,0,341,341,120K,30%,112949
docs/source-material/pdf-extract/embedded-images/image-152.png,18,152,image,587,135,icc,3,8,image,no,1252,0,223,223,107K,46%,89197
docs/source-material/pdf-extract/embedded-images/image-153.png,18,153,image,439,135,icc,3,8,image,no,1253,0,241,240,47.9K,28%,53987
docs/source-material/pdf-extract/embedded-images/image-154.png,18,154,smask,439,135,gray,1,8,image,no,1253,0,241,240,12.2K,21%,12374
docs/source-material/pdf-extract/embedded-images/image-155.png,18,155,image,607,346,icc,3,8,image,no,2466,0,382,380,103K,17%,100006
docs/source-material/pdf-extract/embedded-images/image-156.png,18,156,image,607,346,icc,3,8,image,no,2466,0,382,380,103K,17%,100006
docs/source-material/pdf-extract/embedded-images/image-157.png,18,157,image,418,103,icc,3,8,image,no,1255,0,149,148,38.0K,30%,39012
docs/source-material/pdf-extract/embedded-images/image-158.png,18,158,image,873,184,icc,3,8,image,no,1256,0,281,280,99.4K,21%,103015
docs/source-material/pdf-extract/embedded-images/image-159.png,18,159,image,478,342,icc,3,8,image,no,2469,0,411,411,82.4K,17%,76398
docs/source-material/pdf-extract/embedded-images/image-160.png,18,160,image,478,342,icc,3,8,image,no,2469,0,411,411,82.4K,17%,76398
docs/source-material/pdf-extract/embedded-images/image-161.png,18,161,image,606,152,icc,3,8,image,no,1258,0,199,197,38.4K,14%,45703
docs/source-material/pdf-extract/embedded-images/image-162.png,18,162,image,701,195,icc,3,8,image,no,1259,0,316,317,57.6K,14%,64862
docs/source-material/pdf-extract/embedded-images/image-163.png,18,163,image,522,94,icc,3,8,image,no,1260,0,162,161,48.8K,34%,49312
docs/source-material/pdf-extract/embedded-images/image-164.png,18,164,smask,522,94,gray,1,8,image,no,1260,0,162,161,7298B,15%,7323
docs/source-material/pdf-extract/embedded-images/image-165.png,18,165,image,791,189,icc,3,8,image,no,1261,0,310,313,148K,34%,133709
