site,url,slug,viewport,raw_screenshot,clone_page,source_viewport,raw_width,raw_height,psnr,exact,pass,note
neuralink,https://neuralink.com/updates/prime-study-progress-update-user-experience/,updates-prime-study-progress-update-user-experience,desktop,public-clone/sites/neuralink/updates-prime-study-progress-update-user-experience/assets/desktop.png,public-clone/sites/neuralink/updates-prime-study-progress-update-user-experience/index.html,1440x1000,1440,7349,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/prime-study-progress-update-user-experience/,updates-prime-study-progress-update-user-experience,mobile,public-clone/sites/neuralink/updates-prime-study-progress-update-user-experience/assets/mobile.png,public-clone/sites/neuralink/updates-prime-study-progress-update-user-experience/index.html,390x844,390,8970,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/prime-study-progress-update/,updates-prime-study-progress-update,desktop,public-clone/sites/neuralink/updates-prime-study-progress-update/assets/desktop.png,public-clone/sites/neuralink/updates-prime-study-progress-update/index.html,1440x1000,1440,10143,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/prime-study-progress-update/,updates-prime-study-progress-update,mobile,public-clone/sites/neuralink/updates-prime-study-progress-update/assets/mobile.png,public-clone/sites/neuralink/updates-prime-study-progress-update/index.html,390x844,390,11138,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/series-c-funding-round-announcement/,updates-series-c-funding-round-announcement,desktop,public-clone/sites/neuralink/updates-series-c-funding-round-announcement/assets/desktop.png,public-clone/sites/neuralink/updates-series-c-funding-round-announcement/index.html,1440x1000,1440,2513,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/series-c-funding-round-announcement/,updates-series-c-funding-round-announcement,mobile,public-clone/sites/neuralink/updates-series-c-funding-round-announcement/assets/mobile.png,public-clone/sites/neuralink/updates-series-c-funding-round-announcement/index.html,390x844,390,3335,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/the-role-of-the-institutional-animal-care-and-use-committee/,updates-the-role-of-the-institutional-animal-care-and-use-committee,desktop,public-clone/sites/neuralink/updates-the-role-of-the-institutional-animal-care-and-use-committee/assets/desktop.png,public-clone/sites/neuralink/updates-the-role-of-the-institutional-animal-care-and-use-committee/index.html,1440x1000,1440,16065,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/the-role-of-the-institutional-animal-care-and-use-committee/,updates-the-role-of-the-institutional-animal-care-and-use-committee,mobile,public-clone/sites/neuralink/updates-the-role-of-the-institutional-animal-care-and-use-committee/assets/mobile.png,public-clone/sites/neuralink/updates-the-role-of-the-institutional-animal-care-and-use-committee/index.html,390x844,390,26390,76.076882,false,true,high-PSNR pass; Chromium re-rasterizes this very tall mobile screenshot
neuralink,https://neuralink.com/updates/two-years-of-telepathy/,updates-two-years-of-telepathy,desktop,public-clone/sites/neuralink/updates-two-years-of-telepathy/assets/desktop.png,public-clone/sites/neuralink/updates-two-years-of-telepathy/index.html,1440x1000,1440,12902,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/two-years-of-telepathy/,updates-two-years-of-telepathy,mobile,public-clone/sites/neuralink/updates-two-years-of-telepathy/assets/mobile.png,public-clone/sites/neuralink/updates-two-years-of-telepathy/index.html,390x844,390,14540,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/understanding-preclinical-research-at-neuralink/,updates-understanding-preclinical-research-at-neuralink,desktop,public-clone/sites/neuralink/updates-understanding-preclinical-research-at-neuralink/assets/desktop.png,public-clone/sites/neuralink/updates-understanding-preclinical-research-at-neuralink/index.html,1440x1000,1440,12438,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/understanding-preclinical-research-at-neuralink/,updates-understanding-preclinical-research-at-neuralink,mobile,public-clone/sites/neuralink/updates-understanding-preclinical-research-at-neuralink/assets/mobile.png,public-clone/sites/neuralink/updates-understanding-preclinical-research-at-neuralink/index.html,390x844,390,17263,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/welcome-david-mcmullen/,updates-welcome-david-mcmullen,desktop,public-clone/sites/neuralink/updates-welcome-david-mcmullen/assets/desktop.png,public-clone/sites/neuralink/updates-welcome-david-mcmullen/index.html,1440x1000,1440,2697,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/welcome-david-mcmullen/,updates-welcome-david-mcmullen,mobile,public-clone/sites/neuralink/updates-welcome-david-mcmullen/assets/mobile.png,public-clone/sites/neuralink/updates-welcome-david-mcmullen/index.html,390x844,390,3591,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/webgrid/,webgrid,desktop,public-clone/sites/neuralink/webgrid/assets/desktop.png,public-clone/sites/neuralink/webgrid/index.html,1440x1000,1440,1000,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/webgrid/,webgrid,mobile,public-clone/sites/neuralink/webgrid/assets/mobile.png,public-clone/sites/neuralink/webgrid/index.html,390x844,390,844,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/,home,desktop,public-clone/sites/neuropixels/home/assets/desktop.png,public-clone/sites/neuropixels/home/index.html,1440x1000,1440,1791,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/,home,mobile,public-clone/sites/neuropixels/home/assets/mobile.png,public-clone/sites/neuropixels/home/index.html,390x844,1053,1791,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/about,about,desktop,public-clone/sites/neuropixels/about/assets/desktop.png,public-clone/sites/neuropixels/about/index.html,1440x1000,1440,1846,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/about,about,mobile,public-clone/sites/neuropixels/about/assets/mobile.png,public-clone/sites/neuropixels/about/index.html,390x844,1053,1846,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/additional-documentation,additional-documentation,desktop,public-clone/sites/neuropixels/additional-documentation/assets/desktop.png,public-clone/sites/neuropixels/additional-documentation/index.html,1440x1000,1440,1430,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/additional-documentation,additional-documentation,mobile,public-clone/sites/neuropixels/additional-documentation/assets/mobile.png,public-clone/sites/neuropixels/additional-documentation/index.html,390x844,1053,1430,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/contact,contact,desktop,public-clone/sites/neuropixels/contact/assets/desktop.png,public-clone/sites/neuropixels/contact/index.html,1440x1000,1440,1663,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/contact,contact,mobile,public-clone/sites/neuropixels/contact/assets/mobile.png,public-clone/sites/neuropixels/contact/index.html,390x844,1053,1663,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/copy-of-neuropixels,copy-of-neuropixels,desktop,public-clone/sites/neuropixels/copy-of-neuropixels/assets/desktop.png,public-clone/sites/neuropixels/copy-of-neuropixels/index.html,1440x1000,1440,1010,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/copy-of-neuropixels,copy-of-neuropixels,mobile,public-clone/sites/neuropixels/copy-of-neuropixels/assets/mobile.png,public-clone/sites/neuropixels/copy-of-neuropixels/index.html,390x844,1053,1010,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/news,news,desktop,public-clone/sites/neuropixels/news/assets/desktop.png,public-clone/sites/neuropixels/news/index.html,1440x1000,1440,1000,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/news,news,mobile,public-clone/sites/neuropixels/news/assets/mobile.png,public-clone/sites/neuropixels/news/index.html,390x844,390,844,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/news/categories/imec-news,news-categories-imec-news,desktop,public-clone/sites/neuropixels/news-categories-imec-news/assets/desktop.png,public-clone/sites/neuropixels/news-categories-imec-news/index.html,1440x1000,1440,1000,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/news/categories/imec-news,news-categories-imec-news,mobile,public-clone/sites/neuropixels/news-categories-imec-news/assets/mobile.png,public-clone/sites/neuropixels/news-categories-imec-news/index.html,390x844,390,844,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/news/categories/publications,news-categories-publications,desktop,public-clone/sites/neuropixels/news-categories-publications/assets/desktop.png,public-clone/sites/neuropixels/news-categories-publications/index.html,1440x1000,1440,1000,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/news/categories/publications,news-categories-publications,mobile,public-clone/sites/neuropixels/news-categories-publications/assets/mobile.png,public-clone/sites/neuropixels/news-categories-publications/index.html,390x844,390,844,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/order,order,desktop,public-clone/sites/neuropixels/order/assets/desktop.png,public-clone/sites/neuropixels/order/index.html,1440x1000,1440,1524,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/order,order,mobile,public-clone/sites/neuropixels/order/assets/mobile.png,public-clone/sites/neuropixels/order/index.html,390x844,1053,1524,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/post/a-966-electrode-neural-probe-with-384-configurable-channels-in-0-13%C2%B5m-soi-cmos-ieee-2016,post-a-966-electrode-neural-probe-with-384-configurable-channels-in-0-13-c2-b5m-soi-cmos-ieee-2016,desktop,public-clone/sites/neuropixels/post-a-966-electrode-neural-probe-with-384-configurable-channels-in-0-13-c2-b5m-soi-cmos-ieee-2016/assets/desktop.png,public-clone/sites/neuropixels/post-a-966-electrode-neural-probe-with-384-configurable-channels-in-0-13-c2-b5m-soi-cmos-ieee-2016/index.html,1440x1000,1440,1729,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/post/a-966-electrode-neural-probe-with-384-configurable-channels-in-0-13%C2%B5m-soi-cmos-ieee-2016,post-a-966-electrode-neural-probe-with-384-configurable-channels-in-0-13-c2-b5m-soi-cmos-ieee-2016,mobile,public-clone/sites/neuropixels/post-a-966-electrode-neural-probe-with-384-configurable-channels-in-0-13-c2-b5m-soi-cmos-ieee-2016/assets/mobile.png,public-clone/sites/neuropixels/post-a-966-electrode-neural-probe-with-384-configurable-channels-in-0-13-c2-b5m-soi-cmos-ieee-2016/index.html,390x844,1053,1594,inf,true,true,pixel-perfect
neuropixels,https://www.neuropixels.org/post/challenges-and-opportunities-for-large-scale-electrophysiology-with-neuropixels-probes-coinb-2018,post-challenges-and-opportunities-for-large-scale-electrophysiology-with-neuropixels-probes-coinb-2018,desktop,public-clone/sites/neuropixels/post-challenges-and-opportunities-for-large-scale-electrophysiology-with-neuropixels-probes-coinb-2018/assets/desktop.png,public-clone/sites/neuropixels/post-challenges-and-opportunities-for-large-scale-electrophysiology-with-neuropixels-probes-coinb-2018/index.html,1440x1000,1440,2974,inf,true,true,pixel-perfect
